--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20100930 00:00	68.1	68.1	68.1	77	60.6	2	7	158	0.00	30.012	0	0.001	-100000.0
20100930 00:05	68.1	68.1	68.1	76	60.2	2	4	158	0.00	30.012	0	0.000	-100000.0
20100930 00:10	68.2	68.2	68.2	77	60.7	3	6	158	0.00	30.012	0	0.000	-100000.0
20100930 00:15	68.2	68.2	68.2	77	60.7	2	4	158	0.00	30.010	0	0.000	-100000.0
20100930 00:20	68.4	68.4	68.4	76	60.5	3	5	158	0.00	30.010	0	0.000	-100000.0
20100930 00:25	68.4	68.4	68.4	76	60.5	2	4	158	0.00	30.010	0	0.000	-100000.0
20100930 00:30	68.5	68.5	68.5	76	60.6	2	6	158	0.00	30.011	0	0.000	-100000.0
20100930 00:35	68.4	68.4	68.4	76	60.5	1	3	158	0.00	30.011	0	0.000	-100000.0
20100930 00:40	68.3	68.3	68.3	76	60.4	1	4	158	0.00	30.011	0	0.000	-100000.0
20100930 00:45	68.2	68.2	68.2	77	60.7	2	5	158	0.00	30.015	0	0.000	-100000.0
20100930 00:50	68.1	68.1	68.1	77	60.6	0	3	158	0.00	30.015	0	0.000	-100000.0
20100930 00:55	68.0	68.0	68.0	77	60.5	0	1	158	0.00	30.015	0	0.000	-100000.0
20100930 01:00	68.1	68.1	68.1	77	60.6	1	3	158	0.00	30.015	0	0.001	-100000.0
20100930 01:05	68.2	68.2	68.2	77	60.7	1	3	158	0.00	30.015	0	0.000	-100000.0
20100930 01:10	68.3	68.3	68.3	77	60.8	2	4	158	0.00	30.015	0	0.000	-100000.0
20100930 01:15	68.2	68.2	68.2	77	60.7	1	4	158	0.00	30.023	0	0.000	-100000.0
20100930 01:20	68.3	68.3	68.3	77	60.8	2	4	158	0.00	30.023	0	0.000	-100000.0
20100930 01:25	68.2	68.2	68.2	77	60.7	1	3	158	0.00	30.023	0	0.000	-100000.0
20100930 01:30	68.1	68.1	68.1	77	60.6	2	5	158	0.00	30.024	0	0.000	-100000.0
20100930 01:35	68.1	68.1	68.1	77	60.6	1	4	158	0.00	30.024	0	0.000	-100000.0
20100930 01:40	68.2	68.2	68.2	77	60.7	1	3	158	0.00	30.024	0	0.000	-100000.0
20100930 01:45	68.2	68.2	68.2	77	60.7	1	4	158	0.00	30.024	0	0.000	-100000.0
20100930 01:50	68.2	68.2	68.2	77	60.7	1	4	158	0.00	30.024	0	0.000	-100000.0
20100930 01:55	68.2	68.2	68.2	77	60.7	2	5	158	0.00	30.024	0	0.000	-100000.0
20100930 02:00	68.2	68.2	68.2	77	60.7	1	3	158	0.00	30.023	0	0.001	-100000.0
20100930 02:05	68.0	68.0	68.0	78	60.9	0	1	158	0.00	30.023	0	0.000	-100000.0
20100930 02:10	67.7	67.7	67.7	79	60.9	0	2	158	0.00	30.023	0	0.000	-100000.0
20100930 02:15	67.5	67.5	67.5	79	60.7	0	1	158	0.00	30.022	0	0.000	-100000.0
20100930 02:20	67.5	67.5	67.5	80	61.1	0	2	158	0.00	30.022	0	0.000	-100000.0
20100930 02:25	67.3	67.3	67.3	80	60.9	0	1	158	0.00	30.022	0	0.000	-100000.0
20100930 02:30	67.2	67.2	67.2	80	60.8	0	2	158	0.00	30.018	0	0.000	-100000.0
20100930 02:35	67.2	67.2	67.2	80	60.8	0	3	158	0.00	30.018	0	0.000	-100000.0
20100930 02:40	66.9	66.9	66.9	81	60.9	0	1	158	0.00	30.018	0	0.000	-100000.0
20100930 02:45	66.4	66.4	66.4	82	60.7	0	1	158	0.00	30.011	0	0.000	-100000.0
20100930 02:50	66.3	66.3	66.3	83	61.0	0	2	158	0.00	30.011	0	0.000	-100000.0
20100930 02:55	66.5	66.5	66.5	82	60.8	1	4	158	0.00	30.011	0	0.000	-100000.0
20100930 03:00	66.8	66.8	66.8	82	61.1	0	3	158	0.00	30.009	0	0.001	-100000.0
20100930 03:05	66.8	66.8	66.8	82	61.1	0	3	158	0.00	30.009	0	0.000	-100000.0
20100930 03:10	66.2	66.2	66.2	84	61.2	0	2	158	0.00	30.009	0	0.000	-100000.0
20100930 03:15	65.8	65.8	65.8	85	61.2	0	3	158	0.00	30.012	0	0.000	-100000.0
20100930 03:20	65.8	65.8	65.8	85	61.2	1	3	158	0.00	30.012	0	0.000	-100000.0
20100930 03:25	66.4	66.4	66.4	83	61.1	0	2	158	0.00	30.012	0	0.000	-100000.0
20100930 03:30	66.6	66.6	66.6	84	61.6	0	2	158	0.00	30.018	0	0.000	-100000.0
20100930 03:35	66.4	66.4	66.4	83	61.1	0	2	158	0.00	30.018	0	0.000	-100000.0
20100930 03:40	66.5	66.5	66.5	84	61.5	0	1	158	0.00	30.018	0	0.000	-100000.0
20100930 03:45	66.3	66.3	66.3	84	61.3	0	0	-100000	0.00	30.015	0	0.000	-100000.0
20100930 03:50	66.0	66.0	66.0	84	61.0	0	1	158	0.00	30.015	0	0.000	-100000.0
20100930 03:55	65.7	65.7	65.7	85	61.1	0	1	158	0.00	30.015	0	0.000	-100000.0
20100930 04:00	65.6	65.6	65.6	86	61.3	0	0	-100000	0.00	30.009	0	0.001	-100000.0
